time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;
16.55844156;1;0;0;0;0;0;0;0;0;
16.57142857;1;0;0;0;0;0;0;0;0;
16.58441558;1;0;0;0;0;0;0;0;0;
16.5974026;1;0;0;0;0;0;0;0;0;
16.61038961;1;0;0;0;0;0;0;0;0;
16.62337662;1;0;0;0;0;0;0;0;0;
16.63636364;1;0;0;0;0;0;0;0;0;
16.64935065;1;0;0;0;0;0;0;0;0;
16.66233766;1;0;0;0;0;0;0;0;0;
16.67532468;1;0;0;0;0;0;0;0;0;
16.68831169;1;0;0;0;0;0;0;0;0;
16.7012987;1;0;0;0;0;0;0;0;0;
16.71428571;1;0;0;0;0;0;0;0;0;
16.72727273;1;0;0;0;0;0;0;0;0;
16.74025974;1;0;0;0;0;0;0;0;0;
16.75324675;1;0;0;0;0;0;0;0;0;
16.76623377;1;0;0;0;0;0;0;0;0;
16.77922078;1;0;0;0;0;0;0;0;0;
16.79220779;1;0;0;0;0;0;0;0;0;
16.80519481;1;0;0;0;0;0;0;0;0;
16.81818182;1;0;0;0;0;0;0;0;0;
16.83116883;1;0;0;0;0;0;0;0;0;
16.84415584;1;0;0;0;0;0;0;0;0;
16.85714286;1;0;0;0;0;0;0;0;0;
16.87012987;1;0;0;0;0;0;0;0;0;
16.88311688;1;0;0;0;0;0;0;0;0;
16.8961039;1;0;0;0;0;0;0;0;0;
16.90909091;1;0;0;0;0;0;0;0;0;
16.92207792;1;0;0;0;0;0;0;0;0;
16.93506494;1;0;0;0;0;0;0;0;0;
16.94805195;1;0;0;0;0;0;0;0;0;
16.96103896;1;0;0;0;0;0;0;0;0;
16.97402597;1;0;0;0;0;0;0;0;0;
16.98701299;1;0;0;0;0;0;0;0;0;
17;1;0;0;0;0;0;0;0;0;
17.01298701;1;0;0;0;0;0;0;0;0;
17.02597403;1;0;0;0;0;0;0;0;0;
17.03896104;1;0;0;0;0;0;0;0;0;
17.05194805;1;0;0;0;0;0;0;0;0;
17.06493506;1;0;0;0;0;0;0;0;0;
17.07792208;1;0;0;0;0;0;0;0;0;
17.09090909;1;0;0;0;0;0;0;0;0;
17.1038961;1;0;0;0;0;0;0;0;0;
17.11688312;1;0;0;0;0;0;0;0;0;
17.12987013;1;0;0;0;0;0;0;0;0;
17.14285714;1;0;0;0;0;0;0;0;0;
17.15584416;1;0;0;0;0;0;0;0;0;
17.16883117;1;0;0;0;0;0;0;0;0;
17.18181818;1;0;0;0;0;0;0;0;0;
17.19480519;1;0;0;0;0;0;0;0;0;
17.20779221;1;0;0;0;0;0;0;0;0;
17.22077922;1;0;0;0;0;0;0;0;0;
17.23376623;1;0;0;0;0;0;0;0;0;
17.24675325;1;0;0;0;0;0;0;0;0;
17.25974026;1;0;0;0;0;0;0;0;0;
17.27272727;1;0;0;0;0;0;0;0;0;
17.28571429;1;0;0;0;0;0;0;0;0;
17.2987013;1;0;0;0;0;0;0;0;0;
17.31168831;1;0;0;0;0;0;0;0;0;
17.32467532;1;0;0;0;0;0;0;0;0;
17.33766234;1;0;0;0;0;0;0;0;0;
17.35064935;1;0;0;0;0;0;0;0;0;
17.36363636;1;0;0;0;0;0;0;0;0;
17.37662338;1;0;0;0;0;0;0;0;0;
17.38961039;1;0;0;0;0;0;0;0;0;
17.4025974;1;0;0;0;0;0;0;0;0;
17.41558442;1;0;0;0;0;0;0;0;0;
17.42857143;1;0;0;0;0;0;0;0;0;
17.44155844;1;0;0;0;0;0;0;0;0;
17.45454545;1;0;0;0;0;0;0;0;0;
17.46753247;1;0;0;0;0;0;0;0;0;
17.48051948;1;0;0;0;0;0;0;0;0;
17.49350649;1;0;0;0;0;0;0;0;0;
17.50649351;1;0;0;0;0;0;0;0;0;
17.51948052;1;0;0;0;0;0;0;0;0;
17.53246753;1;0;0;0;0;0;0;0;0;
17.54545455;1;0;0;0;0;0;0;0;0;
17.55844156;1;0;0;0;0;0;0;0;0;
17.57142857;1;0;0;0;0;0;0;0;0;
17.58441558;1;0;0;0;0;0;0;0;0;
17.5974026;1;0;0;0;0;0;0;0;0;
17.61038961;1;0;0;0;0;0;0;0;0;
17.62337662;1;0;0;0;0;0;0;0;0;
17.63636364;1;0;0;0;0;0;0;0;0;
17.64935065;1;0;0;0;0;0;0;0;0;
17.66233766;1;0;0;0;0;0;0;0;0;
17.67532468;1;0;0;0;0;0;0;0;0;
17.68831169;1;0;0;0;0;0;0;0;0;
17.7012987;1;0;0;0;0;0;0;0;0;
17.71428571;1;0;0;0;0;0;0;0;0;
17.72727273;1;0;0;0;0;0;0;0;0;
17.74025974;1;0;0;0;0;0;0;0;0;
17.75324675;1;0;0;0;0;0;0;0;0;
17.76623377;1;0;0;0;0;0;0;0;0;
17.77922078;1;0;0;0;0;0;0;0;0;
17.79220779;1;0;0;0;0;0;0;0;0;
17.80519481;1;0;0;0;0;0;0;0;0;
17.81818182;1;0;0;0;0;0;0;0;0;
17.83116883;1;0;0;0;0;0;0;0;0;
17.84415584;1;0;0;0;0;0;0;0;0;
17.85714286;1;0;0;0;0;0;0;0;0;
17.87012987;1;0;0;0;0;0;0;0;0;
17.88311688;1;0;0;0;0;0;0;0;0;
17.8961039;1;0;0;0;0;0;0;0;0;
17.90909091;1;0;0;0;0;0;0;0;0;
17.92207792;1;0;0;0;0;0;0;0;0;
17.93506494;1;0;0;0;0;0;0;0;0;
17.94805195;1;0;0;0;0;0;0;0;0;
17.96103896;1;0;0;0;0;0;0;0;0;
17.97402597;1;0;0;0;0;0;0;0;0;
17.98701299;1;0;0;0;0;0;0;0;0;
18;1;0;0;0;0;0;0;0;0;
18.01298701;1;0;0;0;0;0;0;0;0;
18.02597403;1;0;0;0;0;0;0;0;0;
18.03896104;1;0;0;0;0;0;0;0;0;
18.05194805;1;0;0;0;0;0;0;0;0;
18.06493506;1;0;0;0;0;0;0;0;0;
18.07792208;1;0;0;0;0;0;0;0;0;
18.09090909;1;0;0;0;0;0;0;0;0;
18.1038961;1;0;0;0;0;0;0;0;0;
18.11688312;1;0;0;0;0;0;0;0;0;
18.12987013;1;0;0;0;0;0;0;0;0;
18.14285714;1;0;0;0;0;0;0;0;0;
18.15584416;1;0;0;0;0;0;0;0;0;
18.16883117;1;0;0;0;0;0;0;0;0;
18.18181818;1;0;0;0;0;0;0;0;0;
18.19480519;1;0;0;0;0;0;0;0;0;
18.20779221;1;0;0;0;0;0;0;0;0;
18.22077922;1;0;0;0;0;0;0;0;0;
18.23376623;1;0;0;0;0;0;0;0;0;
18.24675325;1;0;0;0;0;0;0;0;0;
18.25974026;1;0;0;0;0;0;0;0;0;
18.27272727;1;0;0;0;0;0;0;0;0;
18.28571429;1;0;0;0;0;0;0;0;0;
18.2987013;1;0;0;0;0;0;0;0;0;
18.31168831;1;0;0;0;0;0;0;0;0;
18.32467532;1;0;0;0;0;0;0;0;0;
18.33766234;1;0;0;0;0;0;0;0;0;
18.35064935;1;0;0;0;0;0;0;0;0;
18.36363636;1;0;0;0;0;0;0;0;0;
18.37662338;1;0;0;0;0;0;0;0;0;
18.38961039;1;0;0;0;0;0;0;0;0;
18.4025974;1;0;0;0;0;0;0;0;0;
18.41558442;1;0;0;0;0;0;0;0;0;
18.42857143;1;0;0;0;0;0;0;0;0;
18.44155844;1;0;0;0;0;0;0;0;0;
18.45454545;1;0;0;0;0;0;0;0;0;
18.46753247;1;0;0;0;0;0;0;0;0;
18.48051948;1;0;0;0;0;0;0;0;0;
18.49350649;1;0;0;0;0;0;0;0;0;
18.50649351;1;0;0;0;0;0;0;0;0;
18.51948052;1;0;0;0;0;0;0;0;0;
18.53246753;1;0;0;0;0;0;0;0;0;
18.54545455;1;0;0;0;0;0;0;0;0;
18.55844156;1;0;0;0;0;0;0;0;0;
18.57142857;1;0;0;0;0;0;0;0;0;
18.58441558;1;0;0;0;0;0;0;0;0;
18.5974026;1;0;0;0;0;0;0;0;0;
18.61038961;1;0;0;0;0;0;0;0;0;
18.62337662;1;0;0;0;0;0;0;0;0;
18.63636364;1;0;0;0;0;0;0;0;0;
18.64935065;1;0;0;0;0;0;0;0;0;
18.66233766;1;0;0;0;0;0;0;0;0;
18.67532468;1;0;0;0;0;0;0;0;0;
18.68831169;1;0;0;0;0;0;0;0;0;
18.7012987;1;0;0;0;0;0;0;0;0;
18.71428571;1;0;0;0;0;0;0;0;0;
18.72727273;1;0;0;0;0;0;0;0;0;
18.74025974;1;0;0;0;0;0;0;0;0;
18.75324675;1;0;0;0;0;0;0;0;0;
18.76623377;1;0;0;0;0;0;0;0;0;
18.77922078;1;0;0;0;0;0;0;0;0;
18.79220779;1;0;0;0;0;0;0;0;0;
18.80519481;1;0;0;0;0;0;0;0;0;
18.81818182;1;0;0;0;0;0;0;0;0;
18.83116883;1;0;0;0;0;0;0;0;0;
18.84415584;1;0;0;0;0;0;0;0;0;
18.85714286;1;0;0;0;0;0;0;0;0;
18.87012987;1;0;0;0;0;0;0;0;0;
18.88311688;1;0;0;0;0;0;0;0;0;
18.8961039;1;0;0;0;0;0;0;0;0;
18.90909091;1;0;0;0;0;0;0;0;0;
18.92207792;1;0;0;0;0;0;0;0;0;
18.93506494;1;0;0;0;0;0;0;0;0;
18.94805195;1;0;0;0;0;0;0;0;0;
18.96103896;1;0;0;0;0;0;0;0;0;
18.97402597;1;0;0;0;0;0;0;0;0;
18.98701299;1;0;0;0;0;0;0;0;0;
19;1;0;0;0;0;0;0;0;0;
19.01298701;1;0;0;0;0;0;0;0;0;
19.02597403;1;0;0;0;0;0;0;0;0;
19.03896104;1;0;0;0;0;0;0;0;0;
19.05194805;1;0;0;0;0;0;0;0;0;
19.06493506;1;0;0;0;0;0;0;0;0;
19.07792208;1;0;0;0;0;0;0;0;0;
19.09090909;1;0;0;0;0;0;0;0;0;
19.1038961;1;0;0;0;0;0;0;0;0;
19.11688312;1;0;0;0;0;0;0;0;0;
19.12987013;1;0;0;0;0;0;0;0;0;
19.14285714;1;0;0;0;0;0;0;0;0;
19.15584416;1;0;0;0;0;0;0;0;0;
19.16883117;1;0;0;0;0;0;0;0;0;
19.18181818;1;0;0;0;0;0;0;0;0;
19.19480519;1;0;0;0;0;0;0;0;0;
19.20779221;1;0;0;0;0;0;0;0;0;
19.22077922;1;0;0;0;0;0;0;0;0;
19.23376623;1;0;0;0;0;0;0;0;0;
19.24675325;1;0;0;0;0;0;0;0;0;
19.25974026;1;0;0;0;0;0;0;0;0;
19.27272727;1;0;0;0;0;0;0;0;0;
19.28571429;1;0;0;0;0;0;0;0;0;
19.2987013;1;0;0;0;0;0;0;0;0;
19.31168831;1;0;0;0;0;0;0;0;0;
19.32467532;1;0;0;0;0;0;0;0;0;
19.33766234;1;0;0;0;0;0;0;0;0;
19.35064935;1;0;0;0;0;0;0;0;0;
19.36363636;1;0;0;0;0;0;0;0;0;
19.37662338;1;0;0;0;0;0;0;0;0;
19.38961039;1;0;0;0;0;0;0;0;0;
19.4025974;1;0;0;0;0;0;0;0;0;
19.41558442;1;0;0;0;0;0;0;0;0;
19.42857143;1;0;0;0;0;0;0;0;0;
19.44155844;1;0;0;0;0;0;0;0;0;
19.45454545;1;0;0;0;0;0;0;0;0;
19.46753247;1;0;0;0;0;0;0;0;0;
19.48051948;1;0;0;0;0;0;0;0;0;
19.49350649;1;0;0;0;0;0;0;0;0;
19.50649351;1;0;0;0;0;0;0;0;0;
19.51948052;1;0;0;0;0;0;0;0;0;
19.53246753;1;0;0;0;0;0;0;0;0;
19.54545455;1;0;0;0;0;0;0;0;0;
19.55844156;1;0;0;0;0;0;0;0;0;
19.57142857;1;0;0;0;0;0;0;0;0;
19.58441558;1;0;0;0;0;0;0;0;0;
19.5974026;1;0;0;0;0;0;0;0;0;
19.61038961;1;0;0;0;0;0;0;0;0;
19.62337662;1;0;0;0;0;0;0;0;0;
19.63636364;1;0;0;0;0;0;0;0;0;
19.64935065;1;0;0;0;0;0;0;0;0;
19.66233766;1;0;0;0;0;0;0;0;0;
19.67532468;1;0;0;0;0;0;0;0;0;
19.68831169;1;0;0;0;0;0;0;0;0;
19.7012987;1;0;0;0;0;0;0;0;0;
19.71428571;1;0;0;0;0;0;0;0;0;
19.72727273;1;0;0;0;0;0;0;0;0;
19.74025974;1;0;0;0;0;0;0;0;0;
19.75324675;1;0;0;0;0;0;0;0;0;
19.76623377;1;0;0;0;0;0;0;0;0;
19.77922078;1;0;0;0;0;0;0;0;0;
19.79220779;1;0;0;0;0;0;0;0;0;
19.80519481;1;0;0;0;0;0;0;0;0;
19.81818182;1;0;0;0;0;0;0;0;0;
19.83116883;1;0;0;0;0;0;0;0;0;
19.84415584;1;0;0;0;0;0;0;0;0;
19.85714286;1;0;0;0;0;0;0;0;0;
19.87012987;1;0;0;0;0;0;0;0;0;
19.88311688;1;0;0;0;0;0;0;0;0;
19.8961039;1;0;0;0;0;0;0;0;0;
19.90909091;1;0;0;0;0;0;0;0;0;
19.92207792;1;0;0;0;0;0;0;0;0;
19.93506494;1;0;0;0;0;0;0;0;0;
19.94805195;1;0;0;0;0;0;0;0;0;
19.96103896;1;0;0;0;0;0;0;0;0;
19.97402597;1;0;0;0;0;0;0;0;0;
19.98701299;1;0;0;0;0;0;0;0;0;
20;1;0;0;0;0;0;0;0;0;
20.01298701;1;0;0;0;0;0;0;0;0;
20.02597403;1;0;0;0;0;0;0;0;0;
20.03896104;1;0;0;0;0;0;0;0;0;
20.05194805;1;0;0;0;0;0;0;0;0;
