                time        tsurfi-60A01        tsurfi-60A02        tsurfi-60A03        tsurfi-60A04        tsurfi-60A05        tsurfi-60A06        tsurfi-60A07        tsurfi-60A08        tsurfi-60A09        tsurfi-60A10        tsurfi-60A11
                 (s)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)
     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------
             166.177             311.599             311.580             311.566             311.551             311.535             311.519             311.503             311.486             311.469             311.451             310.990
             167.177             311.672             311.654             311.640             311.625             311.610             311.594             311.578             311.562             311.545             311.528             311.064
             168.177             311.745             311.728             311.714             311.699             311.685             311.670             311.654             311.638             311.622             311.605             311.139
             169.177             311.818             311.801             311.788             311.774             311.760             311.745             311.730             311.714             311.699             311.682             311.213
             170.177             311.891             311.875             311.862             311.848             311.835             311.820             311.806             311.791             311.775             311.759             311.288
             171.177             311.964             311.948             311.936             311.923             311.909             311.896             311.881             311.867             311.852             311.836             311.362
             172.177             312.037             312.022             312.010             311.997             311.984             311.971             311.957             311.943             311.928             311.913             311.437
             173.177             312.111             312.095             312.084             312.072             312.059             312.046             312.033             312.019             312.005             311.990             311.511
             174.177             312.184             312.169             312.158             312.146             312.134             312.122             312.109             312.095             312.082             312.067             311.586
             175.177             312.257             312.242             312.232             312.220             312.209             312.197             312.184             312.172             312.158             312.144             311.660
             176.177             312.330             312.316             312.306             312.295             312.284             312.272             312.260             312.248             312.235             312.221             311.735
             177.177             312.403             312.389             312.380             312.369             312.359             312.348             312.336             312.324             312.311             312.298             311.809
             178.177             312.476             312.463             312.454             312.444             312.434             312.423             312.412             312.400             312.388             312.375             311.884
             179.177             312.549             312.536             312.528             312.518             312.508             312.498             312.487             312.476             312.465             312.452             311.958
             180.177             312.622             312.610             312.602             312.593             312.583             312.573             312.563             312.552             312.541             312.529             312.033
             181.177             312.695             312.684             312.675             312.667             312.658             312.649             312.639             312.629             312.618             312.606             312.107
             182.177             312.768             312.757             312.749             312.741             312.733             312.724             312.715             312.705             312.695             312.683             312.182
