time(s);keff(-);power(W);flux0;flux1;flux2;flux3;flux4;flux5(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;
86.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
87;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
87.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
88;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
88.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
89;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
89.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
90;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
90.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
91;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
91.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
92;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
92.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
93;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
93.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
94;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
94.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
95;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
95.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
96;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
96.5;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
97;1.21055;2e+07;6.6148e+16;2.5874e+17;6.3088e+17;4.3296e+17;3.7786e+17;6.0598e+16;0;0;0;0;0;0;
