time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;
2.34;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.35;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.36;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.37;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.38;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.39;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.4;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.41;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.42;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.43;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.44;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.45;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.46;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.47;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.48;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.49;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.5;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.51;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.52;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.53;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.54;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.55;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.56;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.57;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.58;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.59;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.6;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.607692308;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.614792899;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.621893491;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.628402367;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.634911243;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.641420118;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.647278107;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.653136095;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.658994083;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.664852071;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.670710059;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.675591716;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.680473373;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.68535503;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.690236686;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.695118343;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.7;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.704545455;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.709090909;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.713636364;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.718434343;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.723232323;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.727748069;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.731762065;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.735553061;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.739133447;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.742514922;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.745896397;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.749078962;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.752261527;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.755444092;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.758626657;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.761809222;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.764746974;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.767684726;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.770622478;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.77356023;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.776497983;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.779435735;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.782373487;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.785311239;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.788248991;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.790599193;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.792949395;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.794712046;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.796034035;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.797356023;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.798678012;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.8;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.801010101;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.80198059;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.802923085;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.803838904;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.804737606;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.805611573;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.80646965;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.807312266;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.808132511;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.808938366;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.80972338;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.810488436;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.811240634;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.811974183;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.812695706;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.813399773;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.814092575;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.81477438;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.815440205;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.816095707;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.816741125;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.817381578;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.818012253;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.818638113;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.819259196;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.819875538;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.820487175;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.821094144;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.821696478;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.822298813;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.822901148;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.823503483;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.824105818;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.824708152;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.825310487;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.825917719;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.826524951;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.827132183;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.827739414;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.828346646;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.828953878;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.82956111;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.830168342;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.830775573;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.831382805;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.831990037;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.832597269;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.833204501;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.833811732;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.834418964;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.835026196;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.835627805;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.836229415;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.836831024;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.837438418;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.838045812;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.838653206;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.839254645;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.839856084;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.840457523;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.8410651;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.841672676;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.842273989;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.842875301;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.843476614;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.844077927;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.844679239;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.845280552;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.845881864;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.846483177;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.84708449;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.847685802;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.848287115;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.848888427;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.84948974;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.850091053;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.850692365;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.851293678;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.851894991;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.852496303;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.853097616;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.853698928;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.854300241;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.854901554;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.855502866;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.856104179;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.856705491;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.857315273;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.857925055;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.858526126;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.859127196;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.859728267;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.860338445;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.860948623;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.8615588;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.862168978;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.862779156;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.863389334;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.863999511;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.864609689;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.865219867;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.865830045;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.866440223;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.8670504;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.867660578;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.868270756;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.868880934;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.869491111;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.870101289;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.870711467;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.871321645;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.871931822;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.872542;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.873152178;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.873762356;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.874372534;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.874982711;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.875592889;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.876203067;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.876813245;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.877423422;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.8780336;1;3.6e+09;1e-18;0;0;0;0;0;0;
2.878643778;1;3.6e+09;1e-18;0;0;0;0;0;0;
